sound	question_type	item	voice_quality	intonation_condition	duration
W_Angora_sfo_asp_e_long.wav	wh	Angora	breathy	e	long
W_Angora_sfo_asp_e_short.wav	wh	Angora	breathy	e	short
W_Angora_sfo_asp_m_long.wav	wh	Angora	breathy	m	long
W_Angora_sfo_asp_m_short.wav	wh	Angora	breathy	m	short
W_Angora_sfo_modal_e_long.wav	wh	Angora	modal	e	long
W_Angora_sfo_modal_e_short.wav	wh	Angora	modal	e	short
W_Angora_sfo_modal_m_long.wav	wh	Angora	modal	m	long
W_Angora_sfo_modal_m_short.wav	wh	Angora	modal	m	short
W_Bananen_sfo_asp_e_long.wav	wh	Bananen	breathy	e	long
W_Bananen_sfo_asp_e_short.wav	wh	Bananen	breathy	e	short
W_Bananen_sfo_asp_m_long.wav	wh	Bananen	breathy	m	long
W_Bananen_sfo_asp_m_short.wav	wh	Bananen	breathy	m	short
W_Bananen_sfo_modal_e_long.wav	wh	Bananen	modal	e	long
W_Bananen_sfo_modal_e_short.wav	wh	Bananen	modal	e	short
W_Bananen_sfo_modal_m_long.wav	wh	Bananen	modal	m	long
W_Bananen_sfo_modal_m_short.wav	wh	Bananen	modal	m	short
W_Champagner_sfo_asp_e_long.wav	wh	Champagner	breathy	e	long
W_Champagner_sfo_asp_e_short.wav	wh	Champagner	breathy	e	short
W_Champagner_sfo_asp_m_long.wav	wh	Champagner	breathy	m	long
W_Champagner_sfo_asp_m_short.wav	wh	Champagner	breathy	m	short
W_Champagner_sfo_modal_e_long.wav	wh	Champagner	modal	e	long
W_Champagner_sfo_modal_e_short.wav	wh	Champagner	modal	e	short
W_Champagner_sfo_modal_m_long.wav	wh	Champagner	modal	m	long
W_Champagner_sfo_modal_m_short.wav	wh	Champagner	modal	m	short
W_Flamingos_sfo_asp_e_long.wav	wh	Flamingos	breathy	e	long
W_Flamingos_sfo_asp_e_short.wav	wh	Flamingos	breathy	e	short
W_Flamingos_sfo_asp_m_long.wav	wh	Flamingos	breathy	m	long
W_Flamingos_sfo_asp_m_short.wav	wh	Flamingos	breathy	m	short
W_Flamingos_sfo_modal_e_long.wav	wh	Flamingos	modal	e	long
W_Flamingos_sfo_modal_e_short.wav	wh	Flamingos	modal	e	short
W_Flamingos_sfo_modal_m_long.wav	wh	Flamingos	modal	m	long
W_Flamingos_sfo_modal_m_short.wav	wh	Flamingos	modal	m	short
W_Forelle_sfo_asp_e_long.wav	wh	Forelle	breathy	e	long
W_Forelle_sfo_asp_e_short.wav	wh	Forelle	breathy	e	short
W_Forelle_sfo_asp_m_long.wav	wh	Forelle	breathy	m	long
W_Forelle_sfo_asp_m_short.wav	wh	Forelle	breathy	m	short
W_Forelle_sfo_modal_e_long.wav	wh	Forelle	modal	e	long
W_Forelle_sfo_modal_e_short.wav	wh	Forelle	modal	e	short
W_Forelle_sfo_modal_m_long.wav	wh	Forelle	modal	m	long
